Referring_URL,Referring_Domain,Target_URL,Anchor_Text,Link_Type,Domain_Rating,Spam_Score,Traffic_Estimate,Link_Context,Industry_Relevance,Language,Country,Risk_Factors,Risk_Level,Recommendation,Disavow_Status,Review_Date,Reviewer_Notes,Action_Taken,Follow_Up_Date
http://spammy-site.com/page1,spammy-site.com,https://yoursite.com/,buy cheap products,dofollow,5,85,0,sidebar,1,EN,US,"Low DR;High Spam Score;Commercial Anchor",High,Disavow,Submitted,2024-01-15,"Clear spam site with excessive commercial anchors",Added to disavow file,2024-02-15
http://foreign-spam.ru/link-farm,foreign-spam.ru,https://yoursite.com/about,click here,dofollow,12,75,50,footer,2,RU,RU,"Link farm;Foreign language;Footer link",High,Disavow,Pending,2024-01-16,"Russian link farm with no topical relevance",Pending review,2024-02-16
http://low-quality-blog.net/article,low-quality-blog.net,https://yoursite.com/services,your brand name,dofollow,25,60,100,content,4,EN,US,"Thin content;Multiple outbound links",Medium,Monitor,Not needed,2024-01-17,"Low quality but brand mention - monitor for now",Added to watchlist,2024-03-17
http://hacked-wordpress.org/compromised,hacked-wordpress.org,https://yoursite.com/,casino online,dofollow,35,90,200,content,1,EN,US,"Hacked site;Irrelevant anchor;Spam injection",High,Disavow,Submitted,2024-01-18,"Previously legitimate site now compromised",Added to disavow file,2024-02-18
http://paid-link-network.biz/links,paid-link-network.biz,https://yoursite.com/products,best product reviews,dofollow,20,70,25,content,3,EN,US,"PBN footprint;Multiple exact match anchors",High,Disavow,Submitted,2024-01-19,"Clear PBN with artificial link pattern",Added to disavow file,2024-02-19
http://article-directory.info/submit,article-directory.info,https://yoursite.com/blog,learn more,dofollow,15,55,75,content,5,EN,US,"Low quality directory;Thin content",Medium,Monitor,Not needed,2024-01-20,"Low value but not immediately harmful",Added to watchlist,2024-03-20
http://irrelevant-niche.com/post,irrelevant-niche.com,https://yoursite.com/,exact match keyword,dofollow,40,45,500,content,2,EN,US,"Topic irrelevance;Over-optimized anchor",Medium,Review,Under review,2024-01-21,"Decent DR but completely off-topic",Contacting for removal,2024-02-21
http://broken-site.net/dead-page,broken-site.net,https://yoursite.com/contact,contact us,dofollow,30,40,0,content,6,EN,US,"Site appears abandoned;Broken pages",Low,Monitor,Not needed,2024-01-22,"Site seems abandoned but not harmful",Added to watchlist,2024-04-22
http://guest-post-mill.com/author,guest-post-mill.com,https://yoursite.com/,comprehensive guide,dofollow,25,65,150,content,7,EN,US,"Guest post mill;Multiple authors",Medium,Monitor,Not needed,2024-01-23,"Obvious guest post mill but decent content",Added to watchlist,2024-03-23
http://negative-seo-attack.org/links,negative-seo-attack.org,https://yoursite.com/,negative keywords,dofollow,8,95,0,sidebar,1,EN,US,"Clear negative SEO;Malicious intent",High,Disavow,Submitted,2024-01-24,"Obvious negative SEO attack",Added to disavow file,2024-02-24
